short_question,short_answer,tags,label
my baby ate her on poop my baby ate poop 4 days later she is sick weezing coughing and high fever for 4days straight i took her to the doctor and they said shes fine just a normal cold i told them what happen and they just said she should be fine but if she still has a fever next week come back what should i do and is her symptoms related to her eating her poop,hi one of ours did that she is now 47 and a mum never seamed to affect her as they say a little bit of dirt never hurt anybody helps build up resistance to germs good luck,['baby' 'cough' 'fever' 'coldness' 'cold'],1
how to treat leiomyosarcoma and rectal cancer at the same time,its all about tumor metastasis tumor can migrate frkm one place to another also there is a genic predisposition i am really sorry for this,['leiomyosarcoma and rectal cancer'],1
i smoked cigs for 1 month averaging about 3 a day just wondering if any irreversible was done i did quit since then i started smoking for a month after a period of depression a couple of months ago 2 3 cigs most days with a couple more on bad days i would estimate i probably had 4 packs total over the period i went cold turkey as i started to get my life together and hated the ill feeling from them i exercise regularly and eat healthy and i am still young i would just like to clear my head and hear that i did no damage permanent to my lungs i know it takes a bit to recover hopefully to 100,signs and symptoms of tobacco related diseases often depend on the specific illnesses they cause there are many other symptoms of tobacco related diseases and these listed here are simply examples  shortness of breath may be a sign of emphysema or heart disease chest pain may signal angina pectoriscaused by insufficient blood flow to the heart or a heart attack difficulty swallowing or persistent hoarseness may signal a cancer in the mouth or larynx painless bloody urination may signal bladder cancer the presence of any of the following common symptoms associated with tobacco use should prompt a visit to the doctor or hospital is emergency department chest pain shortness of breath persistent cough coughing up blood frequent colds and upper respiratory infections persistent hoarseness difficulty or pain on swallowing change in exercise capacity sudden weakness on one side of the face or body or difficulty speaking leg pain while walking that goes away when at rest unexplained weight loss persistent abdominal pain blood in the urine,['head' 'lung' 'coldness' 'exercise' 'healthy eating'],1
i have persistent headache and i feel like i have lowgrade fever help  hi so i am a headache everyday it is not too bad though it is completely bearable but a little distracting and i have noticed that i have lowgrade fever most of the time or mostly everyday but just like the headache it is bearable i can not just shrug this feeling off this have been occurring for two or three months now i am hopefully going to the doctor in a few days and get myself checked,for many years i suffered from terrible headaches only when i slept did it go away i found out that there is a shortage of progestorone in my body after starting with treatment it dissappears maybe you can start with testing all your hormones,['headache' 'fever'],1
pain ring finger to the middle of arm before elbow for 45 days started after i held on to stop falling worse on lifting its not bad3 on 10 earlier it was more painful but now it does not hurt as much unless i type or write i have barely used my right hand for anything for the past month else the pain increases it starts hurting at one point about five fingers from my wrist but pain goes away completely if i press down on it it also hurts in the area below middle to pinkie i got an xray done already so nothing there shd i get an mri if so only for wrist or forearm also or shd anti inflammatories be enough thanks,your first and most important step is to get an accurate diagnosis which is based on examination findings you may need to see an orthopedist for a higher level examination if the orthopedist feels that you would need imaging studies then so be it but right now getting an mri may be premature anti inflammatory medications can definitiely help but again having a definitive diagnosis is critical so get a referral to a specialist,['pain' 'ring finger' 'finger' 'arm' 'elbow'],1
where can i go for help for bipolar disorder,it does seem to be an std can be anything else other than herpes too start on antibiotics immediately apply local creams take anti pyretic tablets to reduce the inflammation,['bipolar disorder'],-1
does prozac cause weight gain what about zoloft,com this could be a chronic daily headache that is mostly caused by neck muscles injury or tiredness…or a cervical vertebrae problem this may be accompanied with dizziness blurring vision i recommend doing hot packs on neck muscles for some days and getting some rest… if it does not go away then we can start doing mri or ct brain…,['weight gain'],-1
what are the ingredients inibuprofen  i take a 600mg ibuprofen only as needed for nerve pain my question is what ingredients are in this medication i have a legal prescription for it,ibuprofen is the ingredient the only ingredient a 200 mg tablet of ibuprofen is available over the counter without a prescription but a 600 mg or 800 mg tablet requires a prescription,['ibuprofen' 'nerve' 'pain'],1
why am i hearing my heartbeat in my right ear  just recently i have started hearing my heartbeat in my right ear this came on suddenly i am a 66 year old female with no particular health issues what could be the cause of this anything to worry about,hi these symptoms may be due to the effect of the hormonal pills that you have been taking this can damage your gut mucosa to some extent you should consult a gastroenterologist and get a abdominal scan done having fever and diarrhoea is indicative of a gut infection and should be treated by appropriate antibiotics,['ears'],-1
what weighs more muscle or fat  im just wondering about weight gain due to muscle growth my wife has been working out for some time with weights and cardio training but she is finding that her weight has been fluctuating and at times gains weight a little bit,a pound of fat and a pound of muscle weigh the same the difference is that a pound of muscle is denser and therefore takes up much less surface area than fat if you were to look at five pounds of muscle and five pounds of fat the fat would take up much more volume it is possible for you to lose fat and gain muscle without a change in body weight because you are building muscle through exercising sometimes your body fat percentage can be a better indicator than the number on the scale and you can get this tested by a medical professional weight can fluctuate slightly based on several factors here are some links that you may find helpful to share with your wife webmd fitness & exercise guide can you gain muscle & lose fat at the same time fitness & exercise community with rich weil cde med why do you gain back weight diet community with pam peeke md the webmd answers staff muscle weighs more than fat,['muscle' 'weight' 'weight gain'],1
okay so i am 16 and i want to grow about 3 more inches if i smoke hookah once or twice will i grow to my goal height,this is not a result of obamacare with the exception of vaccines for influenza pneumonia and hepatitis b vaccines are generally covered by medicare prescription drug plans details of the coverage can vary depending on the plan you have you should contact your medicare drug plan for more information about coverage,['smoking' 'height'],-1
what is the treatment for the common cold,so sorry to hear you are going through this congestion in the ears is not only annoying it can become painful if it does not clear up quickly one thing you can try is an over the counter decongestant medication decongestants basically work by drying up excess fluid whether the fluid is located in the ears nose or wherever note that a decongestant is not the same as an allergy pill be sure to read the label carefully for dosing instructions a pharmacist can help you choose a product and explain how to take it if you develop a fever congestion fluid build up in your chest or a productive cough meaning you are coughing up mucus you would do well to see your health care provider these can be symptoms of something other than a common cold also the symptoms of a common cold should clear up within a week or so and do not forget to drink plenty of fluids especially plain water water can help keep those secretions body fluids thin which makes them easier to eliminate by sneezing or coughing best wishes to you,['cold' 'coldness'],-1
can you be allergic to mold in your food,a person can have an allergic reaction to just about anything so that would include food or molds,['mold' 'food'],1
can herpes be spread by bed bugs if a person infected with herpes is bitten by a bed bug can another person bitten by the same bug get infected with herpes,hi look your now stressing your self out over this if you carry on your just go raving mad stop relax if its not happened sinse the time to sleep and take a break but do have sex this will help calm you down if need be do it twice or your wifegf will think you have gone off her but did you think that perhaps this pain was just a strain it can happen at the most odd times lifting heavy moving something form the wrong angle or even tripping over its takes about 2 weeks to go away slowly but do de stress yourself google natural ways out of stress good luck,['herpes'],-1
i have heavy pain in both side of my head that causes dizziness sometimes in my back and neck,hi cervical spondylosis and nerve compression seems to be most probable cause consult a neurophysician and get evaluated and an mri scan can help in diagnosis and treatment can be done accordingly medication and physiotherapy can help once exact cause is ruled out hope this helps,['i have heavy pain in both side of my head'],1
can i sit in a sauna and steam room with a broken ankle,not if you are in a cast it would become so stinky that you could not stand the smell and the humidity has the potential of fostering a very itchy and irritating fungal infection if you do not have any medical issues that would preclude you from using a sauna or steam room and you are in a boot instead of a cast hobble or hop in carefully do not slip or fall consider leaving the boot outside the room and enjoy there are no reasons a person with a broken ankle cannot have a sauna or steam,['ankle'],1
how effective are foam and male condoms in preventing pregnancy,the short answer is no most medications if they are contributing to hair loss will cause a shedding process breakage is more commonly due to excessive and repeated chemical or physical trauma to the hair,['pregnancy' 'condom'],-1
can newborn babies be born addicted to prednisone if the mom took it for asthma in the last trimester,no prednisone is not addictive nor does it remain in the body for very long in carefully prescribed doses when treating asthma it would not hurt the baby,['newborn' 'baby' 'asthma'],1
what is black measles when i was young i had them now in my fifties i have a lot of health problems could it be because of them and what damage do they do to your body i know they have not been heard of in god know how long is there any way to know after all of these years after having them to get information on them,i have been in medicine for over 40 years and have never heard of the term black measles but there is a lay term for rubeola the medical name for true measles called the red measles and of course there is german measles rubella,['measles'],1
my husband is taking 40 mg of prozac and is really depressed and has thought of suicide what do we do,i would recommend voicing these concerns to his doctor or health care provider we are learning that therapy has to be individualized and that therapy may have to be changed to find the right fit is he also seeing a psychologist there have been some recent studies that have shown that therapy and medication are very beneficial to patients with depression i would also like to know if he is taking his medication every day    this is very important so he builds consistent blood levels of the medication help is available and if you need additional guidance talk to your pharmacist,['suicide'],1
is erythema multiforme an autoimmune disorder,erythema multiforme is considered a hypersensitivity disorder not an autoimmune disorder <link>,[''],1
why would a rn choose not to get her kids a flu shot as the grandparent is there anything i can do,you would just have to ask the rn for her rationale many people reject vaccines for a variety of reasons    some valid and some ridiculous if these are her children then she has the right not to vaccinate or decide which vaccinations her children receive the flu vaccine is optional as far as schools are concerned but not optional in my book i am very pro vaccine but i do allow the parents the right to refuse they do have to hear my lecture however but in the end the decision is theirs as a grandmother    and i am a grandparent too    we have memories of those days before vaccinations some new parents have never seen the diseases that ravaged our generation did she give you any specific reason if it is a time issue maybe you can volunteer to take your grandchildren to a nearby pharmacy or health department to get the shots or is she worried about its safety would it help to give her some stats from the cdc on vaccine safety and flu here is something that may help <link> there are myths that persist about flu shots my mother refuses to get one because she thinks it will give her the flu and no amount of discussion from me will convince her otherwise remember that kids especially those under 5 are more susceptible to the flu so it is great that you are trying to talk to her about this remember that ultimately it is her decision as the parent and good luck with your presuasion skills,['flu'],1
i have been taking propranolol for the chest pains now have headaches and pain on left side of head and body,if you are having a neck pain and headache this is probably something wrong with your cervical spines or muscles causing the headachecommon or migraine headache which gives the same symptoms you have described…it is usually of unknown cause or a withdrawal symptom of propranololmigraine headache and lightheadedness  first of all drink plenty of water and see a doctor to check your neck and their muscles spines… otherwise you try sleeping well and having enough rest eat fruits and vegetables and try starting to walk daily as an exercise this helps much before you gets migraine…,['have headaches and pain on left side of head and body?'],1
should i nap,the question should i nap it really depends if you have a problem falling asleep at night the answer is no there is data to suggest that the last time you were asleep is directly proportional to how long it takes you to fall asleep so if the last time you were asleep was at 230 this afternoon you are probably going to have a pretty tough time falling asleep if you have insomnia as opposed to if it was 630 this morning so if you are an insomniac or you are someone who has a hard time falling asleep i think napping is out however if you are sleep deprived and socially speaking you can only get 6 and a half hours sleep but you really need 7 and a half then a nap during the day may be just the thing for you,[''],1
pain when urinating inconsistent urination painfull ejaculation painfull mastrubation etc oh gosh im in all sort of trouble here and its given me anxiety over the past 1 5years ive been having this condition it all began when my urine penis started smelling cheesy after urination then later on when i was laying in bed and rising up i could feel from pelvic area like something is almost pushing my urine out it happened all the time then came premature ejaculation painfull urination painfull mastrubation painfull ejaculation also when i drag back my foreskin pain help please,hi first i need you to role out sebaceous adenoma then i need you to check your testosterone levels i am aware you are a female until then use clindamycin solutionin the morning & isotretinoin 0 025 cream at night good luck,['pain' 'urination' 'ejaculation' 'anxiety' 'penis'],-1
is there evidence that statins increase life expectancy for people without heart disease,hi yes ask any doctor they will tell you how great the are then ask them if there that good are they on them they will say no they do not need them there is tons of stuff stating and from doctors that they just are not good for most just to many bad side effects try these links www spacedoc com <link> <link> <link> just copy links into google one at a time to the www to open and read these should help you good luck,['heart disease'],1
broken collarbone 3 5 cm overlap its been three weeks after break and still feels broken or loose,i suspect that it is still broke at three weeks and it still may be overlapping collarbones clavicles are notoriously slow to heal especially when the bone is not joined you would need to have another x ray to check the status of your fracture,['collarbone'],1
why do i feel lightheaded fatigued and sweat during sleeping no fever  i am an almost 37 yr old female with a lot of stress right now dr put me on effexor and i started not being able to sleep having bad headaches feeling lightheaded and constipated i took it for 2 weeks and he told me to stop when i called him he called me in something else but i am afraid to get it i have been on paxil prozac and celexa and never felt this horrible i have not taken anything in almost a week but feel lightheaded many times thoughout the day any ideas what could be wrong,janumet is a combination product containing januvia and metformin both medications are used to help decrease sugar levels found in blood circulation after eating a meal but by different mechanisms of actions metformin is a generic medication that can be found at several pharmacies on their special pricing lists for one month and three month supplies however januvia is still a brand medication as well as janumet there are plenty of different combinations of diabetes medications that can be used to lower sugar levels however if sugar levels are being maintained with this combination product i would not switch check with your insurance company to see if there is a lower co pay for using januvia versus janumet if so you still can get the same coverage as janumet by taking the two ingredients januvia and metformin there are not medications in the same drug class but there are medications available to help lower sugar levels by a different means of action within the body start by contacting your insurance to see what they cover and at what co pay costs work with your pharmacist and physician to see what will work best for diabetes coverage specific to your husband is needs check around with pharmacies to see if they have different generic lists of medications they cover at a lower cost that may be lower than your insurance lastly talk to your doctor to see if heshe has any co pay assistance cards many brand medications do have an assistance program to aid with co pays ,['stress' 'fever' 'lightheadedness' 'fatigue' 'sweating'],-1
i am experiencing a problem keeping an erection are there natural remedies that can be taken for this,there are several natural remedies that claim to improve erectile dysfunction and you are free to try them if you want personally i think they are ineffective so if you really need help ask your medical provider for a prescription while the erectile dysfunction drugs are not natural they will work,['erection'],1
i have been having very sharp stabbing pains down through the top rtrear of my head the pain almost knocks me down i have been having these pains for 6 7 weeks i have had no previous head injuries they just started out of the blue they are not headaches they are in  a dime sized spot on top of my head right side just off center back portion top of head does that make any sense these pains happen wether  i am standing or laying down thank you for your time,there are many potential causes to this including a nerve problem given how long it is lasted and the fact that is has not gone away it is time to get your doctor to check you out you need to have an examination by your doctor to determine what follow up tests you may need to get to the bottom of the pain as you said these are not typical headaches and the description of your symptoms does not automatically point to something in particular,['headache' 'head' 'pain' 'head injury'],1
what are some warning signs for pregnant women when they are exercising,your body prob got use to the workout that happened to me and i workout with my dad for a while i noticed i was not pushing myself and doing certain things right maybe find a trainer and ask them to show you some pointers that helped me a lot i would not suggest diet pills i do not know why i am against those but i have not found any that does not have a lot of caffeine in it i have read some labels say not to consume any other caffeine from coffee or tea i am a huge coffee drinker maybe you need to cut more things out of your diet maybe you did not take enough things out for instance i was a fast food junky bc i am always busy and i had to stop eating out and that helped me lose more hopefully that helped i am not a professional just speaking based off my personal experience,['pregnancy' 'exercise'],-1
i need relief from chronic epididymitis,hi chronic epididymitis is difficult to heal completely especially if the changes are irreversible in your case this seems to be the case thats why its not responding to any treatment symptomatic treatment is the only option thanks,['chronic epididymitis'],1
is it better for a type ii diabetic to eat corn or bread stuffing,hi the blood doesnt seem to be arising from any oral ulcers or blisters it seems to be arising from your oesophagus or stomach you should not be neglecting it and immediately consult a doctor drink plenty of fluids get a gastroscopy done to find out the cause of bleed thanks,['diabetes'],-1
how effective are male condoms at birth control,condoms are about 85 effective for birth control with careful use they are even more effective keep in mind that the best way to avoid getting pregnant is to not have sex abstinence,['birth control' 'condom'],1
guest in my home has scabies do i have house sterilized or will a good cleaning do it we have not had skin contact he is getting treated and i am having a general cleaner come in this afternoon to change linens etc is this sufficient i have never had anything like this in my home somewhat disturbed,that is sufficient unless of course you want to just move and find a new house scabies are human skin parasites they live under the skin and are spread by close direct contact usually not just a casual contact do not freak out the general cleaning and laundry should be fine,['scabies' 'skin'],1
how soon should my 14 year old wait before returning to school having been diagnosed with pneumonia,she can go back to school when she feels better and has the energy to tolerate the school experience pneumonia is not contagious,['pneumonia'],1
can i have strep without fever  my 4 year old son was diagnosed with strep throat 3 days ago last night i was fine one minute and suddenly felt like i would been hit by a ton of bricks body aches headache  sore throat and general feeling crappy but no fever is there any point in dragging myself out to doctor when i feel so miserable is it possible to have strep without fever i do not have any runny nose stuffy nose or cough not a cold ,in an adult it is not necessary to mount a fever response to strep some people do most people do not so you can still have strep you were certainly exposed assuming your son was correctly diagnosed any chance you can get a strep test some clinicians will just treat symptomatic parental contacts but that would be totally up to the discretion of the clinician,['fever' 'nose' 'strep throat' 'headache' 'runny nose'],1
my period only last 36 48 hours which is my norm is that why i have had 2 yrs of no luck getting pregnant  my husband and i have been trying for two years to have a child i am turning 30 next month and in my family after 30 equals issues my normal period is only 36 48 hours could this be preventing me from getting pregnant,it is common to have decrease in stool frequency or constipation after switching from breast milk breastfeeding to formula feed as long as your child is feeding well passing gas from below has no vomiting and has a soft belly there is nothing to worry about it is normal to pass stool once every 2 3 days also you may note change in stool color green after switching to formula feed in this scenario you can try using a cotton q tip cotton swab apply some lubrication on it and stimulate the rectal area to see if your child passes stool if this does not help then try seeing your local pediatrician who can help with rectal stimulation and passage of his stool for further queries consult a paediatrician online   > <link>,['pregnancy' 'family' 'period'],-1
i was diagnosed with mononucleosis 7 months ago since then i have not been able to recover,chronic fatigue syndrome is a common complication to ebv infection i recommend you to seek psychological advice,['diagnosed with mononucleosi'],1
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
